method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_hint,300,0.02,43,16,12,-1,12.268,True
incr_repair,300,0.02,43,16,12,1,1.382,True
cpsat_rebuild,300,0.02,43,17,12,-1,9.9,True
cpsat_hint,300,0.02,43,17,12,-1,10.013,True
incr_repair,300,0.02,43,17,12,2,1.919,True
cpsat_rebuild,300,0.02,43,18,12,-1,10.438,True
cpsat_hint,300,0.02,43,18,12,-1,8.89,True
incr_repair,300,0.02,43,18,12,2,1.892,True
cpsat_rebuild,300,0.02,43,19,12,-1,8.485,True
cpsat_hint,300,0.02,43,19,12,-1,9.171,True
incr_repair,300,0.02,43,19,12,0,0.172,True
cpsat_rebuild,300,0.02,43,20,12,-1,8.484,True
cpsat_hint,300,0.02,43,20,12,-1,8.755,True
incr_repair,300,0.02,43,20,12,0,0.167,True
cpsat_rebuild,300,0.02,43,21,12,-1,8.489,True
cpsat_hint,300,0.02,43,21,12,-1,9.242,True
incr_repair,300,0.02,43,21,12,1,1.352,True
cpsat_rebuild,300,0.02,43,22,12,-1,8.401,True
cpsat_hint,300,0.02,43,22,12,-1,9.067,True
incr_repair,300,0.02,43,22,12,0,0.168,True
cpsat_rebuild,300,0.02,43,23,12,-1,8.122,True
cpsat_hint,300,0.02,43,23,12,-1,8.394,True
incr_repair,300,0.02,43,23,12,2,1.395,True
cpsat_rebuild,300,0.02,43,24,12,-1,8.266,True
cpsat_hint,300,0.02,43,24,12,-1,8.434,True
incr_repair,300,0.02,43,24,12,3,1.71,True
cpsat_rebuild,300,0.02,43,25,12,-1,8.55,True
cpsat_hint,300,0.02,43,25,12,-1,11.647,True
incr_repair,300,0.02,43,25,12,2,2.362,True
cpsat_rebuild,300,0.02,43,26,12,-1,9.112,True
cpsat_hint,300,0.02,43,26,12,-1,8.667,True
incr_repair,300,0.02,43,26,12,1,2.239,True
cpsat_rebuild,300,0.02,43,27,12,-1,9.911,True
cpsat_hint,300,0.02,43,27,12,-1,7.394,True
incr_repair,300,0.02,43,27,12,0,0.167,True
cpsat_rebuild,300,0.02,43,28,12,-1,10.41,True
cpsat_hint,300,0.02,43,28,12,-1,9.876,True
incr_repair,300,0.02,43,28,12,1,1.263,True
cpsat_rebuild,300,0.02,43,29,12,-1,7.609,True
cpsat_hint,300,0.02,43,29,12,-1,11.145,True
incr_repair,300,0.02,43,29,12,2,1.531,True
cpsat_rebuild,300,0.02,43,30,12,-1,10.622,True
cpsat_hint,300,0.02,43,30,12,-1,7.879,True
incr_repair,300,0.02,43,30,12,1,1.189,True
cpsat_rebuild,300,0.02,44,1,12,-1,9.746,True
cpsat_hint,300,0.02,44,1,12,-1,11.88,True
incr_repair,300,0.02,44,1,12,2,1.57,True
cpsat_rebuild,300,0.02,44,2,12,-1,12.06,True
cpsat_hint,300,0.02,44,2,12,-1,10.208,True
incr_repair,300,0.02,44,2,12,2,1.556,True
cpsat_rebuild,300,0.02,44,3,12,-1,9.66,True
cpsat_hint,300,0.02,44,3,12,-1,10.234,True
incr_repair,300,0.02,44,3,12,2,1.667,True
cpsat_rebuild,300,0.02,44,4,12,-1,9.418,True
cpsat_hint,300,0.02,44,4,12,-1,9.886,True
incr_repair,300,0.02,44,4,12,2,1.507,True
cpsat_rebuild,300,0.02,44,5,12,-1,9.347,True
cpsat_hint,300,0.02,44,5,12,-1,9.966,True
incr_repair,300,0.02,44,5,12,0,1.312,True
cpsat_rebuild,300,0.02,44,6,12,-1,9.197,True
cpsat_hint,300,0.02,44,6,12,-1,11.541,True
incr_repair,300,0.02,44,6,12,4,1.945,True
cpsat_rebuild,300,0.02,44,7,12,-1,12.331,True
cpsat_hint,300,0.02,44,7,12,-1,11.506,True
incr_repair,300,0.02,44,7,12,2,2.979,True
cpsat_rebuild,300,0.02,44,8,12,-1,8.74,True
cpsat_hint,300,0.02,44,8,12,-1,13.156,True
incr_repair,300,0.02,44,8,12,2,1.914,True
cpsat_rebuild,300,0.02,44,9,12,-1,12.005,True
cpsat_hint,300,0.02,44,9,12,-1,12.892,True
incr_repair,300,0.02,44,9,12,1,1.332,True
cpsat_rebuild,300,0.02,44,10,12,-1,10.742,True
cpsat_hint,300,0.02,44,10,12,-1,9.578,True
incr_repair,300,0.02,44,10,12,4,1.543,True
cpsat_rebuild,300,0.02,44,11,12,-1,8.914,True
cpsat_hint,300,0.02,44,11,12,-1,9.275,True
