suite,instance,seed,num_variables,domain_size,density,strategy,success,status,initial_core_size,final_core_size,expansions,total_time_ns,full_scope_required
structural,d4_c48,44,24,4,2.0,fullscope,True,optimal,24,24,0,1472200,True
structural,d4_c48,45,24,4,2.0,radius1,True,optimal,24,24,0,1522700,True
structural,d4_c48,45,24,4,2.0,explanation,True,optimal,13,13,0,1518000,False
structural,d4_c48,45,24,4,2.0,fullscope,True,optimal,24,24,0,1566000,True
structural,d4_c48,46,24,4,2.0,radius1,True,optimal,22,22,0,1358800,False
structural,d4_c48,46,24,4,2.0,explanation,True,optimal,9,9,0,1105100,False
structural,d4_c48,46,24,4,2.0,fullscope,True,optimal,24,24,0,1400600,True
structural,d4_c48,47,24,4,2.0,radius1,True,optimal,17,17,0,1235700,False
structural,d4_c48,47,24,4,2.0,explanation,True,optimal,9,9,0,977600,False
structural,d4_c48,47,24,4,2.0,fullscope,True,optimal,24,24,0,1371600,True
structural,d4_c48,48,24,4,2.0,radius1,True,optimal,19,19,0,1469300,False
structural,d4_c48,48,24,4,2.0,explanation,True,optimal,9,9,0,1070400,False
structural,d4_c48,48,24,4,2.0,fullscope,True,optimal,24,24,0,1690100,True
structural,d4_c48,49,24,4,2.0,radius1,True,optimal,20,20,0,1324600,False
structural,d4_c48,49,24,4,2.0,explanation,True,optimal,9,9,0,1299400,False
structural,d4_c48,49,24,4,2.0,fullscope,True,optimal,24,24,0,1664800,True
structural,d4_c48,50,24,4,2.0,radius1,True,optimal,21,21,0,1432000,False
structural,d4_c48,50,24,4,2.0,explanation,True,optimal,9,9,0,1255100,False
structural,d4_c48,50,24,4,2.0,fullscope,True,optimal,24,24,0,1413500,True
structural,d4_c48,51,24,4,2.0,radius1,True,optimal,17,17,0,1304100,False
structural,d4_c48,51,24,4,2.0,explanation,True,optimal,7,7,0,907000,False
structural,d4_c48,51,24,4,2.0,fullscope,True,optimal,24,24,0,1413600,True
structural,d4_c72,42,24,4,3.0,radius1,True,optimal,24,24,0,1836400,True
structural,d4_c72,42,24,4,3.0,explanation,True,optimal,12,12,0,1443500,False
structural,d4_c72,42,24,4,3.0,fullscope,True,optimal,24,24,0,1752000,True
structural,d4_c72,43,24,4,3.0,radius1,True,optimal,23,23,0,1874100,False
structural,d4_c72,43,24,4,3.0,explanation,True,optimal,12,12,0,1684300,False
structural,d4_c72,43,24,4,3.0,fullscope,True,optimal,24,24,0,1662100,True
structural,d4_c72,44,24,4,3.0,radius1,True,optimal,24,24,0,1741200,True
structural,d4_c72,44,24,4,3.0,explanation,True,optimal,12,12,0,1504200,False
structural,d4_c72,44,24,4,3.0,fullscope,True,optimal,24,24,0,1682200,True
structural,d4_c72,45,24,4,3.0,radius1,True,optimal,24,24,0,1722900,True
structural,d4_c72,45,24,4,3.0,explanation,True,optimal,13,13,0,1586300,False
structural,d4_c72,45,24,4,3.0,fullscope,True,optimal,24,24,0,1759200,True
structural,d4_c72,46,24,4,3.0,radius1,True,optimal,24,24,0,1893300,True
structural,d4_c72,46,24,4,3.0,explanation,True,optimal,11,11,0,1615800,False
structural,d4_c72,46,24,4,3.0,fullscope,True,optimal,24,24,0,1748000,True
structural,d4_c72,47,24,4,3.0,radius1,True,optimal,23,23,0,1679900,False
structural,d4_c72,47,24,4,3.0,explanation,True,optimal,11,11,0,1397900,False
structural,d4_c72,47,24,4,3.0,fullscope,True,optimal,24,24,0,1647600,True
structural,d4_c72,48,24,4,3.0,radius1,True,optimal,23,23,0,1723600,False
structural,d4_c72,48,24,4,3.0,explanation,True,optimal,11,11,0,1450300,False
structural,d4_c72,48,24,4,3.0,fullscope,True,optimal,24,24,0,1670500,True
structural,d4_c72,49,24,4,3.0,radius1,True,optimal,23,23,0,1704200,False
structural,d4_c72,49,24,4,3.0,explanation,True,optimal,12,12,0,1665200,False
structural,d4_c72,49,24,4,3.0,fullscope,True,optimal,24,24,0,1775300,True
structural,d4_c72,50,24,4,3.0,radius1,True,optimal,24,24,0,1700800,True
structural,d4_c72,50,24,4,3.0,explanation,True,optimal,12,12,0,1576600,False
structural,d4_c72,50,24,4,3.0,fullscope,True,optimal,24,24,0,1653100,True
structural,d4_c72,51,24,4,3.0,radius1,True,optimal,23,23,0,1719100,False
structural,d4_c72,51,24,4,3.0,explanation,True,optimal,10,10,0,1513800,False
structural,d4_c72,51,24,4,3.0,fullscope,True,optimal,24,24,0,1681900,True
structural,d8_c24,42,24,8,1.0,radius1,True,optimal,14,14,0,1014600,False
structural,d8_c24,42,24,8,1.0,explanation,True,optimal,7,7,0,782200,False
structural,d8_c24,42,24,8,1.0,fullscope,True,optimal,24,24,0,19494100,True
structural,d8_c24,43,24,8,1.0,radius1,True,optimal,14,14,0,1977700,False
structural,d8_c24,43,24,8,1.0,explanation,True,optimal,8,8,0,908400,False
structural,d8_c24,43,24,8,1.0,fullscope,True,optimal,24,24,0,8008500,True
structural,d8_c24,44,24,8,1.0,radius1,True,optimal,14,14,0,941900,False
structural,d8_c24,44,24,8,1.0,explanation,True,optimal,8,8,0,780200,False
structural,d8_c24,44,24,8,1.0,fullscope,True,optimal,24,24,0,8574100,True
structural,d8_c24,45,24,8,1.0,radius1,True,optimal,12,12,0,1203900,False
structural,d8_c24,45,24,8,1.0,explanation,True,optimal,8,8,0,834200,False
structural,d8_c24,45,24,8,1.0,fullscope,True,optimal,24,24,0,8122300,True
structural,d8_c24,46,24,8,1.0,radius1,True,optimal,4,4,0,485400,False
structural,d8_c24,46,24,8,1.0,explanation,True,optimal,2,2,0,393500,False
structural,d8_c24,46,24,8,1.0,fullscope,True,optimal,24,24,0,8995000,True
structural,d8_c24,47,24,8,1.0,radius1,True,optimal,12,12,0,1497000,False
structural,d8_c24,47,24,8,1.0,explanation,True,optimal,8,8,0,1368900,False
structural,d8_c24,47,24,8,1.0,fullscope,True,optimal,24,24,0,9132400,True
structural,d8_c24,48,24,8,1.0,radius1,True,optimal,14,14,0,3134200,False
structural,d8_c24,48,24,8,1.0,explanation,True,optimal,9,9,0,1145000,False
structural,d8_c24,48,24,8,1.0,fullscope,True,optimal,24,24,0,8605100,True
structural,d8_c24,49,24,8,1.0,radius1,True,optimal,11,11,0,931400,False
structural,d8_c24,49,24,8,1.0,explanation,True,optimal,7,7,0,720000,False
structural,d8_c24,49,24,8,1.0,fullscope,True,optimal,24,24,0,7982600,True
structural,d8_c24,50,24,8,1.0,radius1,True,optimal,12,12,0,970400,False
structural,d8_c24,50,24,8,1.0,explanation,True,optimal,7,7,0,741500,False
