method,scenario,seed,total_ms,verified,preferred_kept_frac,objective
qacm_like,S4,88,2.823,True,0.75,18.0
nswf_like,S4,88,4.374,True,0.75,5224.0
qacm_like,S4,89,2.241,True,0.583,14.0
nswf_like,S4,89,3.831,True,0.583,5031.0
qacm_like,S4,90,2.056,True,0.833,20.0
nswf_like,S4,90,3.049,True,0.833,5206.0
qacm_like,S4,91,1.904,True,0.583,14.0
nswf_like,S4,91,2.762,True,0.583,5066.0
qacm_like,S5,42,5.886,True,0.667,20.0
nswf_like,S5,42,6.956,True,0.633,6319.0
qacm_like,S5,43,3.299,True,0.533,16.0
nswf_like,S5,43,5.479,True,0.533,6151.0
qacm_like,S5,44,3.757,True,0.8,24.0
nswf_like,S5,44,6.432,True,0.8,6567.0
qacm_like,S5,45,2.192,True,0.733,22.0
nswf_like,S5,45,3.82,True,0.733,6500.0
qacm_like,S5,46,4.594,True,0.533,16.0
nswf_like,S5,46,8.15,True,0.533,6283.0
qacm_like,S5,47,1.889,True,0.533,16.0
nswf_like,S5,47,3.151,True,0.533,5985.0
qacm_like,S5,48,4.01,True,0.7,21.0
nswf_like,S5,48,6.715,True,0.7,6401.0
qacm_like,S5,49,3.688,True,0.7,21.0
nswf_like,S5,49,6.25,True,0.7,6392.0
qacm_like,S5,50,1.97,True,0.567,17.0
nswf_like,S5,50,3.65,True,0.567,6039.0
qacm_like,S5,51,1.713,True,0.533,16.0
nswf_like,S5,51,3.171,True,0.533,5888.0
qacm_like,S5,52,2.129,True,0.533,16.0
nswf_like,S5,52,4.087,True,0.533,6215.0
qacm_like,S5,53,2.968,True,0.6,18.0
nswf_like,S5,53,4.876,True,0.6,6175.0
qacm_like,S5,54,4.104,True,0.733,22.0
nswf_like,S5,54,6.589,True,0.733,6500.0
qacm_like,S5,55,3.741,True,0.7,21.0
nswf_like,S5,55,5.258,True,0.667,6507.0
qacm_like,S5,56,3.041,True,0.567,17.0
nswf_like,S5,56,4.77,True,0.567,6298.0
qacm_like,S5,57,3.357,True,0.6,18.0
nswf_like,S5,57,5.464,True,0.5,6256.0
qacm_like,S5,58,4.414,True,0.733,22.0
nswf_like,S5,58,6.227,True,0.733,6437.0
qacm_like,S5,59,2.543,True,0.633,19.0
nswf_like,S5,59,4.134,True,0.633,6054.0
qacm_like,S5,60,2.848,True,0.8,24.0
nswf_like,S5,60,5.108,True,0.8,6548.0
qacm_like,S5,61,3.025,True,0.733,22.0
nswf_like,S5,61,5.09,True,0.733,6418.0
qacm_like,S5,62,3.918,True,0.8,24.0
nswf_like,S5,62,6.405,True,0.8,6500.0
qacm_like,S5,63,2.873,True,0.567,17.0
nswf_like,S5,63,4.354,True,0.567,6226.0
qacm_like,S5,64,2.842,True,0.633,19.0
nswf_like,S5,64,4.376,True,0.633,6188.0
qacm_like,S5,65,2.675,True,0.5,15.0
nswf_like,S5,65,4.62,True,0.5,6214.0
qacm_like,S5,66,2.154,True,0.7,21.0
nswf_like,S5,66,3.312,True,0.7,6348.0
qacm_like,S5,67,3.558,True,0.6,18.0
nswf_like,S5,67,5.609,True,0.6,6327.0
qacm_like,S5,68,4.048,True,0.7,21.0
nswf_like,S5,68,7.059,True,0.667,6354.0
qacm_like,S5,69,3.627,True,0.767,23.0
nswf_like,S5,69,4.858,True,0.733,6556.0
qacm_like,S5,70,3.044,True,0.767,23.0
nswf_like,S5,70,5.125,True,0.733,6533.0
qacm_like,S5,71,3.586,True,0.633,19.0
nswf_like,S5,71,5.652,True,0.633,6395.0
qacm_like,S5,72,2.58,True,0.633,19.0
nswf_like,S5,72,4.597,True,0.633,6376.0
qacm_like,S5,73,4.302,True,0.633,19.0
nswf_like,S5,73,5.621,True,0.633,6264.0
qacm_like,S5,74,3.34,True,0.767,23.0
nswf_like,S5,74,5.138,True,0.767,6480.0
qacm_like,S5,75,4.092,True,0.833,25.0
nswf_like,S5,75,5.191,True,0.833,6592.0
qacm_like,S5,76,2.954,True,0.5,15.0
nswf_like,S5,76,5.527,True,0.5,6164.0
qacm_like,S5,77,2.111,True,0.6,18.0
nswf_like,S5,77,3.256,True,0.6,6183.0
qacm_like,S5,78,3.274,True,0.633,19.0
nswf_like,S5,78,6.022,True,0.633,6246.0
qacm_like,S5,79,2.779,True,0.633,19.0
nswf_like,S5,79,4.903,True,0.633,6287.0
qacm_like,S5,80,3.902,True,0.667,20.0
nswf_like,S5,80,6.77,True,0.667,6341.0
qacm_like,S5,81,3.273,True,0.633,19.0
nswf_like,S5,81,5.044,True,0.567,6249.0
qacm_like,S5,82,2.679,True,0.667,20.0
nswf_like,S5,82,4.439,True,0.667,6249.0
qacm_like,S5,83,1.551,True,0.633,19.0
nswf_like,S5,83,2.812,True,0.633,6229.0
qacm_like,S5,84,3.777,True,0.7,21.0
nswf_like,S5,84,5.401,True,0.667,6286.0
qacm_like,S5,85,3.483,True,0.667,20.0
nswf_like,S5,85,5.206,True,0.667,6373.0
qacm_like,S5,86,2.969,True,0.767,23.0
nswf_like,S5,86,4.939,True,0.767,6529.0
qacm_like,S5,87,2.852,True,0.733,22.0
nswf_like,S5,87,4.22,True,0.7,6389.0
qacm_like,S5,88,2.389,True,0.6,18.0
nswf_like,S5,88,5.896,True,0.6,6111.0
qacm_like,S5,89,3.662,True,0.733,22.0
nswf_like,S5,89,6.198,True,0.733,6452.0
qacm_like,S5,90,1.857,True,0.567,17.0
nswf_like,S5,90,3.628,True,0.567,6130.0
qacm_like,S5,91,2.361,True,0.5,15.0
nswf_like,S5,91,3.975,True,0.467,5984.0
