method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
incr_repair,100,0.02,46,2,4,1,0.735,0.0,0.0,True
cpsat_rebuild,100,0.02,46,3,4,-1,2.478,0.794,1.678,True
cpsat_hint,100,0.02,46,3,4,-1,2.695,0.998,1.691,True
incr_repair,100,0.02,46,3,4,2,0.99,0.0,0.0,True
cpsat_rebuild,100,0.02,46,4,4,-1,2.464,0.8,1.659,True
cpsat_hint,100,0.02,46,4,4,-1,2.664,1.009,1.65,True
incr_repair,100,0.02,46,4,4,1,0.749,0.0,0.0,True
cpsat_rebuild,100,0.02,46,5,4,-1,2.725,0.78,1.94,True
cpsat_hint,100,0.02,46,5,4,-1,2.878,0.988,1.885,True
incr_repair,100,0.02,46,5,4,0,0.054,0.0,0.0,True
