scenario,seed,decoder,direct_feasible,violations,kept_pref,decode_ms,repair_success,repair_core,repair_expansions,repair_ms,end2end_ms
S2,65,fc_search,1,0,0.5,39.9671,1,0,0,0.0,39.9671
S2,65,min_conflict,1,0,0.4444,0.3627,1,0,0,0.0,0.3627
S2,66,utility,0,7,0.5556,0.1423,1,11,0,0.8774,1.0197
S2,66,greedy_fc,0,4,0.7222,0.04,1,9,2,1.096,1.136
S2,66,fc_search,1,0,0.5,0.2177,1,0,0,0.0,0.2177
S2,66,min_conflict,0,1,0.5556,2.8595,1,2,0,0.424,3.2835
S2,67,utility,0,3,0.7778,0.1625,1,7,1,1.0668,1.2293
S2,67,greedy_fc,0,1,0.7222,0.038,1,3,1,0.5122,0.5502
S2,67,fc_search,1,0,0.6111,0.1158,1,0,0,0.0,0.1158
S2,67,min_conflict,0,1,0.7222,3.0305,1,3,1,0.4778,3.5083
S2,68,utility,0,7,0.9444,0.1531,1,11,0,1.2542,1.4073
S2,68,greedy_fc,0,1,0.7222,0.0396,1,5,2,0.7853,0.8249
S2,68,fc_search,1,0,0.6111,0.698,1,0,0,0.0,0.698
S2,68,min_conflict,1,0,0.5556,0.3167,1,0,0,0.0,0.3167
S2,69,utility,0,6,0.8889,0.1282,1,15,3,2.7117,2.8399
S2,69,greedy_fc,0,2,0.6667,0.0371,1,9,3,1.3164,1.3535
S2,69,fc_search,1,0,0.5556,11.2616,1,0,0,0.0,11.2616
S2,69,min_conflict,0,1,0.7222,2.9196,1,5,3,0.6959,3.6155
S2,70,utility,0,7,0.7222,0.1135,1,12,0,1.041,1.1545
S2,70,greedy_fc,0,5,0.8333,0.0384,1,13,2,1.7648,1.8032
S2,70,fc_search,1,0,0.3889,0.2695,1,0,0,0.0,0.2695
S2,70,min_conflict,0,2,0.6111,2.9666,1,11,4,1.9356,4.9021
S2,71,utility,0,6,0.8333,0.1193,1,9,1,0.8938,1.0131
S2,71,greedy_fc,0,2,0.7778,0.0398,1,4,0,0.4379,0.4777
S2,71,fc_search,1,0,0.6667,0.123,1,0,0,0.0,0.123
S2,71,min_conflict,1,0,0.6667,0.2825,1,0,0,0.0,0.2825
S2,72,utility,0,4,0.7778,0.1337,1,10,2,1.33,1.4637
S2,72,greedy_fc,0,6,0.8889,0.0417,1,15,4,1.8863,1.928
S2,72,fc_search,1,0,0.6111,0.0845,1,0,0,0.0,0.0845
S2,72,min_conflict,0,3,0.7222,2.8745,1,10,2,1.3556,4.23
S2,73,utility,0,8,0.8333,0.1801,1,12,1,1.6989,1.879
S2,73,greedy_fc,0,7,0.6667,0.0444,1,11,1,1.2512,1.2956
S2,73,fc_search,1,0,0.5,0.1006,1,0,0,0.0,0.1006
S2,73,min_conflict,0,1,0.6111,2.8187,1,3,1,0.51,3.3286
S2,74,utility,0,9,0.8333,0.125,1,13,0,1.4939,1.6189
S2,74,greedy_fc,0,1,0.6111,0.0382,1,5,1,0.65,0.6882
S2,74,fc_search,1,0,0.5556,0.2416,1,0,0,0.0,0.2416
S2,74,min_conflict,1,0,0.4444,0.244,1,0,0,0.0,0.244
S2,75,utility,0,9,0.7222,0.1276,1,9,0,0.6273,0.755
S2,75,greedy_fc,0,7,0.8333,0.0402,1,12,1,0.9218,0.9619
S2,75,fc_search,1,0,0.5,10.1923,1,0,0,0.0,10.1923
S2,75,min_conflict,0,2,0.6667,3.0929,1,13,2,1.4314,4.5243
S2,76,utility,0,8,0.7222,0.1243,1,13,0,1.5659,1.6902
S2,76,greedy_fc,0,6,0.6667,0.0443,1,8,0,0.7191,0.7634
