Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
VeriXApp,True,10.269641876220703,False,False,False,False,0,15.3593168789068,3.672038310340158e-05,0.03200000002,0.46215153374660106,S1,0.6,3.0,10,27,
Uncoordinated,False,0.00858306884765625,False,False,False,False,0,12.032656818196088,4.8867013236080294e-05,0.03800000002000001,0.5262198162956198,S1,0.6,3.0,10,28,
Static priority,False,0.12874603271484375,False,False,False,False,0,12.784001509349718,4.599498831175511e-05,0.03800000002000001,0.5231223080775033,S1,0.6,3.0,10,28,
Continuous only,True,12.920618057250977,False,False,False,False,0,9.832926059966722,5.735830784859057e-05,0.03200000002,0.4492439133359049,S1,0.6,3.0,10,28,
CP-SAT,True,58.54678153991699,False,False,False,False,0,11.281312127042455,5.212159661733888e-05,0.03200000002,0.5016844493241978,S1,0.6,3.0,10,28,
VeriXApp,True,13.166189193725586,False,False,False,False,0,9.832926059966722,5.735830784859057e-05,0.03200000002,0.4492439133359049,S1,0.6,3.0,10,28,
Uncoordinated,False,0.008106231689453125,False,False,False,False,0,12.500547508614401,4.7037939705824585e-05,0.03200000002,0.49196940632942204,S1,0.6,3.0,10,29,
Static priority,False,0.10657310485839844,False,False,False,False,0,12.227502849551565,4.5144131781596296e-05,0.03200000002,0.4686917964236487,S1,0.6,3.0,10,29,
Continuous only,True,7.019281387329102,False,False,False,False,0,10.537945979190745,5.2382124665473997e-05,0.03200000002,0.3805912082739895,S1,0.6,3.0,10,29,
CP-SAT,True,3.380298614501953,False,False,False,False,0,11.986180177074027,4.9056496007349186e-05,0.03200000002,0.46099158629066794,S1,0.6,3.0,10,29,
VeriXApp,True,7.102727890014648,False,False,False,False,0,10.537945979190745,5.2382124665473997e-05,0.03200000002,0.3805912082739895,S1,0.6,3.0,10,29,
Uncoordinated,False,0.011920928955078125,False,False,False,False,0,11.800750612174205,4.609876251759648e-05,0.036000000020000006,0.40758894070479373,S2,0.6,3.0,10,0,
Static priority,False,0.2956390380859375,False,False,False,False,0,12.136128253436205,4.548402822322742e-05,0.036000000020000006,0.42040014985644153,S2,0.6,3.0,10,0,
Continuous only,True,23.408889770507812,False,False,False,False,0,13.140455240769095,4.139887013291637e-05,0.04000000002,0.45037819934599277,S2,0.6,3.0,10,0,
CP-SAT,True,4.656314849853516,False,False,False,False,0,13.588679059487406,4.1799500710367514e-05,0.036000000020000006,0.43142063622375154,S2,0.6,3.0,10,0,
VeriXApp,True,23.469924926757812,False,False,False,False,0,13.140455240769095,4.139887013291637e-05,0.04000000002,0.45037819934599277,S2,0.6,3.0,10,0,
Uncoordinated,False,0.011682510375976562,False,False,False,False,0,5.574191301446323,9.472226040448253e-05,0.036000000020000006,0.3339065682249695,S2,0.6,3.0,10,1,
Static priority,False,0.22363662719726562,False,False,False,False,0,7.587108642657598,7.064614799192476e-05,0.03200000002,0.2979450576168112,S2,0.6,3.0,10,1,
Continuous only,True,30.205488204956055,False,False,False,False,0,6.710347692813486,8.702976756710247e-05,0.04400000002,0.3755118926255607,S2,0.6,3.0,10,1,
CP-SAT,True,5.430698394775391,False,False,False,False,0,5.953614579399994,9.674794905149023e-05,0.04000000002,0.260597731338991,S2,0.6,3.0,10,1,
VeriXApp,True,30.12251853942871,False,False,False,False,0,6.710347692813486,8.702976756710247e-05,0.04400000002,0.3755118926255607,S2,0.6,3.0,10,1,
Uncoordinated,False,0.012159347534179688,False,False,False,False,0,10.612975552390164,4.82428323209217e-05,0.03200000002,0.5369282310984171,S2,0.6,3.0,10,2,
Static priority,False,0.19788742065429688,False,False,False,False,0,12.260052811647101,4.6329327346811885e-05,0.03200000002,0.5285197521399664,S2,0.6,3.0,10,2,
Continuous only,True,34.70492362976074,False,False,False,False,0,11.696709027824687,4.514090234646075e-05,0.03200000002,0.5214722748996401,S2,0.6,3.0,10,2,
CP-SAT,True,4.7550201416015625,False,False,False,False,0,12.462644162961588,4.236661121796223e-05,0.02800000002,0.5682803927841822,S2,0.6,3.0,10,2,
VeriXApp,True,34.81340408325195,False,False,False,False,0,11.696709027824687,4.514090234646075e-05,0.03200000002,0.5214722748996401,S2,0.6,3.0,10,2,
Uncoordinated,False,0.012636184692382812,False,False,False,False,0,9.495803358426453,5.813094260320401e-05,0.036000000020000006,0.5196741134089893,S2,0.6,3.0,10,3,
Static priority,False,0.2262592315673828,False,False,False,False,0,9.67623129120801,5.539346713291349e-05,0.03200000002,0.5098273989916561,S2,0.6,3.0,10,3,
Continuous only,True,28.712987899780273,False,False,False,False,0,10.69367683125363,5.012307819453379e-05,0.04400000002,0.5199143571249301,S2,0.6,3.0,10,3,
CP-SAT,True,5.3958892822265625,False,False,False,False,0,10.761317707900096,5.055143010977539e-05,0.04000000002,0.5445726476007615,S2,0.6,3.0,10,3,
