Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
VeriXApp,True,56.635141372680664,False,False,False,False,0,12.668418018815833,4.2941431139390974e-05,0.04000000002,0.3839536377600936,AblationCfg,0.6,3.0,10,20,No exact repair
VeriXApp,True,56.96845054626465,False,False,False,False,0,12.668418018815833,4.2941431139390974e-05,0.04000000002,0.3839536377600936,AblationCfg,0.6,3.0,10,20,Repair radius h=0
VeriXApp,True,55.97329139709473,False,False,False,False,0,12.668418018815833,4.2941431139390974e-05,0.04000000002,0.3839536377600936,AblationCfg,0.6,3.0,10,20,Repair radius h=1
VeriXApp,True,56.38003349304199,False,False,False,False,0,12.668418018815833,4.2941431139390974e-05,0.04000000002,0.3839536377600936,AblationCfg,0.6,3.0,10,20,Repair radius h=2
VeriXApp,True,50.3535270690918,False,False,False,False,0,10.330925445391394,5.188305760536764e-05,0.036000000020000006,0.5198134286032801,AblationCfg,0.6,3.0,10,21,Full VeriXApp
VeriXApp,True,544.2049503326416,False,False,False,False,0,10.787057279752034,5.11724361597799e-05,0.036000000020000006,0.532532622807876,AblationCfg,0.6,3.0,10,21,No polarization
VeriXApp,True,48.880815505981445,False,False,False,False,0,10.330925445391394,5.188305760536764e-05,0.036000000020000006,0.5198134286032801,AblationCfg,0.6,3.0,10,21,No exact repair
VeriXApp,True,49.176692962646484,False,False,False,False,0,10.330925445391394,5.188305760536764e-05,0.036000000020000006,0.5198134286032801,AblationCfg,0.6,3.0,10,21,Repair radius h=0
VeriXApp,True,48.888206481933594,False,False,False,False,0,10.330925445391394,5.188305760536764e-05,0.036000000020000006,0.5198134286032801,AblationCfg,0.6,3.0,10,21,Repair radius h=1
VeriXApp,True,48.68817329406738,False,False,False,False,0,10.330925445391394,5.188305760536764e-05,0.036000000020000006,0.5198134286032801,AblationCfg,0.6,3.0,10,21,Repair radius h=2
VeriXApp,True,35.570383071899414,False,False,False,False,0,11.220513689316938,4.5630709446705256e-05,0.04400000002,0.37165490546777596,AblationCfg,0.6,3.0,10,22,Full VeriXApp
VeriXApp,True,449.6610164642334,False,False,False,False,0,11.220513689316938,4.5630709446705256e-05,0.04400000002,0.37165490546777596,AblationCfg,0.6,3.0,10,22,No polarization
VeriXApp,True,35.980224609375,False,False,False,False,0,11.220513689316938,4.5630709446705256e-05,0.04400000002,0.37165490546777596,AblationCfg,0.6,3.0,10,22,No exact repair
VeriXApp,True,36.31424903869629,False,False,False,False,0,11.220513689316938,4.5630709446705256e-05,0.04400000002,0.37165490546777596,AblationCfg,0.6,3.0,10,22,Repair radius h=0
VeriXApp,True,35.967350006103516,False,False,False,False,0,11.220513689316938,4.5630709446705256e-05,0.04400000002,0.37165490546777596,AblationCfg,0.6,3.0,10,22,Repair radius h=1
